Key,Value,Version,Comment
combat.state.Escape,Flüchtet,,
combat.state.FindEnemy,"Sucht nach Feinden",,
combat.state.FindLoot,"Sucht nach Beute",,
combat.state.HighAlert,"Hohe Alarmbereitschaft",,
combat.state.LoadLoot,"Stiehlt etwas",,
combat.state.MeleeAttack,"Greift an (Nahkampf)",,
combat.state.RangedAttack,"Greift an (Fernkampf)",,
combat.state.Regroup,"Neu formieren",,
combat.state.SuicideBomb,Selbstmordbombe,,
comfortable.temp,Wohlfühltemperatur,,
comfortable.work.spot,"Bevorzugter Arbeitsplatz",,
communicator.missing,"Kommunikator fehlt",,
communicator.missing.info,"Jemand hat gerade versucht, mit unserem Schiff zu kommunizieren, aber das Kommunikationsgerät war nicht verfügbar oder nicht eingeschaltet.",,
compatible.objects,"Kompatible Objekte",,
computer.resources,Computerressourcen,,
computer.resources.cpu,CPU,,
computer.resources.info,"Arb.-Sp.: {0}, Festpl.-Sp.: {1}",2022-08-18,
computer.resources.memory,Arbeitsspeicher,,
computer.resources.storage,Festplattenspeicher,2022-08-18,
condition,Zustand,,
confirm,Bestätigen,,
confirm.expedition,"Expedition bestätigen",,
confirm.mass.order,"Massenanweisung bestätigen",,
confirm.mass.processing,"Du bist im Begriff, die Fertigung von <b>{0} Objekten</b> anzuordnen.",,
confirm.object.removal,"Entfernen des Objekts bestätigen",,
confirm.object.removal.info,"Deine Auswahl umfasst <b>{0} Objekt(e)</b>. Bitte bestätige die Aktion.",2022-08-18,
connect.to.refuel,"Anschließen, um mit Treibstoff versorgen zu können",,"A label displayed in the menu when you have a disconnected device that needs fuel. You cannot refuel it while it is disconnected, so you have to »connect to refuel«"
connected.to.count,"Verbunden mit",,
construct,Konstruieren,,
construct.find.materials,"Finde Materialien",,
construct.object,"Objekt konstruieren",,
construction.complete,"Vollständig aufgebaut",,
construction.cost,Baukosten,,
construction.pending,"Nicht konstruiert",,
construction.progress,"Baufortschritt: {0}/{1}",,
contains.materials,"Enthält Materialien",,
content,Nachricht,,"For a label of a text area where player has to enter the »content« of some message"
contents,Inhalt,,"For a label before a list of items that are inside some container"
continue,Fortfahren,,
contribute.translation,"Übersetzung beisteuern",,
controllable.worker,"Kontrollierter Arbeiter",,
convert,umwandeln,,
converting.now,"Wandele {0} um",,
cook,Zubereiten,,"[Weidengeist: Used a more general term here to be more suitable for e. g. bread.]"
cooking.bar,"Bereite {0} zu",,"[Weidengeist: Used a more general term here to be more suitable for e. g. bread.]"
cooler,Kühler,,"A device type, noun. Opposite of »Heater«. Device that cools the area down, reduces temperature."
copied.to.clipboard,"In die Zwischenablage kopiert",,
copied.to.clipboard.info,"{0} Protokolleinträge in die Zwischenablage kopiert. Füge sie in deinen bevorzugten Texteditor ein, um die Geschichte zu speichern.",,
copy.color.hex,"Kopiere Farbe: {0}",,
copy.config,"Konfig. kopieren",,"[Weidengeist: Shortened to fit the button in conjunction with the added info.]"
copy.config.cleanable,Reinigungsdaten,,"Most »copy.config.X« keys are used in combination with »copy.config.of« key (which is »Copy Config: {0}«). In this case the copy config action target is a cleanable device (i.e. a toilet or a solar panel). The value of this translation will be placed into {0} variable of »copy.config.of«, so in this case it will become »Copy Config: Cleanable«. This text will be displayed on a button that copies the configuration of the cleanable device and then lets you paste it onto other devices of same type."
copy.config.energy.node,Ein/Aus,,
copy.config.fluid.cannon,Flüssigkeitskanone,,
copy.config.help,"Dieses Werkzeug kopiert die Konfiguration einer ausgewählten Komponente und wechselt in den Einfügemodus. Du siehst eine Verbindung zum kopierten Objekt. Ziehe ein Rechteck über die Objekte, in die du die Konfiguration einfügen möchtest. Wenn du über inkompatible Objekte ziehst, passiert nichts.",,
copy.config.light,Lichtfarbe,,
copy.config.lock.state,Schlosszustand,,"This one is like »copy.config.cleanable« but the target device is a door. The door lock state can be »Locked« or »Unlocked«, so when you get a menu of the door options, there will be a button saying »Copy Config: Lock State«. You can then paste the lock state on other doors that can be locked or unlocked."
copy.config.matter.reactor,Materiereaktor,2022-08-13,
copy.config.of,"Konfig. kopieren: {0}",,
copy.config.particle.collector,Partikelsammler,,
copy.config.pet.bowl,Futternapf,,
copy.config.planter,Pflanzgefäß,,
copy.config.solar.panel,Solarpaneel,,
copy.config.terraformer,Terraformer,,
copy.emblem,"Emblem kopieren",,
copy.game.seed,"Startwert (Seed) des Spiels kopieren",,
copy.id,"ID kopieren",,
copy.to.clipboard,"In die Zwischenablage kopieren",,
cosmetic.particles,"Kosmetische Partikel anzeigen",,
cosmetic.particles.tip,"Deaktiviert nicht benötigte Partikelsysteme. Nützlich beim Spielen auf sehr großen Karten oder mit älterer Hardware.",,
could.not.cancel.exp.stage,"Konnte {0} nicht abbrechen",,
countdown.minutes,"Countdown: {0:0.0} min",,
cpu.efficiency,Betriebseffizienz,,
cpu.module.amount,"{0} THz",,
cpu.module.builtin,"Eingebautes CPU-Modul",,
craft,Handwerk,,"[Weidengeist: Needs to be checked. Noun? Verb?]"
crafted.in,"Gefertigt in {0}",,
credits,Mitwirkende,,"A header before list of names of people who have to be credited for doing something (i.e. translating the game). Used in »Main Menu« → »About« → »Credits«, or when the game end screen is displayed."
crew.incapable.of.mining,"Die Expeditionsmannschaft war nicht in der Lage, das Erz abzubauen. Du solltest einige Expeditionsmitglieder mit der Fähigkeit <b>Bergbau</b> einschließen.",,
cryo.not.enough.power,"Nicht genug Energie",,
cryo.not.enough.power.desc,"Zu wenig Energie für die aktuelle Lebenserhaltungsstufe. Reduziere die Ziellebenserhaltungsstufe oder erhöhe die Stärke des Stromnetzes.",,
cryo.stability,Kryostabilität,,
cryo.stability.average,"Stabilität: durchschnittlich",,
cryo.stability.desc,"Zeigt an, wie stabil die Lebenserhaltungssysteme sind. Instabile Kryokammern werfen die Kolonisten häufiger und mit schlechteren Ausgangsbedingungen aus. Um die Stabilität zu erhöhen, schalte die Lebenserhaltung von »Normal« auf »Erweitert«. Es wird eine Menge Energie verbrauchen, aber die Stabilität wird langsam ansteigen.",,
cryo.stability.good,"Stabilität: Gut",,
cryo.stability.great,"Stabilität: Hervorragend",,
cryo.stability.poor,"Stabilität: Schlecht",,
cryo.stability.unstable,"Stabilität: Instabil",,
cryo.used,"Belegte Kammern",,"There is a device called »Stasis Array« that has multiple »chambers« where people can get frozen for long term sleep. »Used Chambers« is a label before the number telling how many of those chambers are currently occupied."
cryo.used.desc,"Zeigt an, wie viele Kryokammern derzeit von Lebewesen besetzt sind. Die Kammern können entweder Menschen oder Tiere enthalten.",,
ctrl.assign.task,"Klicke {0}, während du {1} gedrückt hältst, um die Aufgabe zu erzwingen",,
currency.Starcreds,Starcreds,,
currency.Starcreds.desc,"Eine kryptographische Währung, die Menschen für den Handel mit Waren verwenden",,
current.expeditions,"Derzeitige Expeditionen",,
current.items.produced,"Aktuell produzierte Objekte",,
current.mood.trend,"Aktueller Stimmungstrend",,
cursor.light,"Mauszeigerlicht aktivieren",,
cursor.light.tip,"Der Mauszeiger gibt etwas Licht ab, um dunkle Bereiche besser sichtbar zu machen.",,
cursor.software,"Softwaremauszeiger verwenden",,
cutoff.ambience,"Ferne Umgebungsgeräusche dämpfen",,"Cutoff refers to audio low-pass filter frequency: In a lowpass filter, the higher the cutoff frequency is set, the higher the frequencies of signals that are allowed to pass. Ambience in this case is sounds coming from various devices, like machines or engines humming. The context for »Zoom Cutoff for Ambience« – it is used as a label for a checkbox in audio settings. If checked, when camera is zooming, ambience audio gets the cutoff (muffled sound) effect when camera distance changes."
cutoff.fx,"Ferne Geräuscheffekte dämpfen",,
cutoff.music,"Ferne Musik dämpfen",,
cycle.blueprint.tip,"<br>Blaupause wechseln mit {0} und {1}",,
cycle.placement.mode.tip,"<br>Platzierungsmodus durchschalten mit {0}",,
damage.type.Acid,Säure,,
damage.type.Age,Alter,,
damage.type.Cold,Kälte,,
damage.type.Electricity,Elektroschock,,"[Weidengeist: Changed to one word to work better in conjunction with being.taking.damage.]"
damage.type.Heat,Hitze,,
damage.type.Hunger,Nahrungsmangel,,
damage.type.Oxygen,Erstickung,,
damage.type.Physical,Krafteinwirkung,,"[Weidengeist: Changed to work better in conjunction with being.taking.damage.]"
damage.type.Sickness,Krankheit,,
damage.type.Stasis,Stasis,,
damage.type.Undefined,Unbekannt,,
damage.type.Water,Wasser,,
damageable,"Kann beschädigt werden",,
damaged,Beschädigt,,
day,Tag,,
deactivate,Deaktivieren,,
deactivate.siren,"Sirene deaktivieren",,
dead,tot,,
death.cause,"Todesursache: {0}",,
deconstruct,Dekonstruieren,,
deconstruction.not.allowed.temp,"{0} befindet sich in einem Zustand, der eine Dekonstruktion verhindert. Bitte versuche es später noch einmal.",,
deconstruction.progress,"Dekonstruktionsfortschritt: {0}/{1}",,
decrease,Verringern,,
decrease.amount,"Anzahl verringern",,
delete,Löschen,,
delete.save,"Spielstand löschen",,
demand.type.Custom,"Benutzerdefinierte Menge",,"demand.type.X keys are for options used in crafting devices to select how many items do we want to produce. »Produce Custom Amount« does what demand.type.Custom.tip says – the device will produce X items and stop. This configuration option is per device, unlike »Target Global Inventory« it will calculate how many items that particular device has produced."
demand.type.Custom.tip,"Produziert die Zielmenge an Objekten und stoppt dann.",,
demand.type.Limit,Inventarauffüllung,,"like demand.type.Custom, but instead of a custom amount for a particular crafting device, it will track your inventory, so if you have 3 devices that produce »copper wire«, and you set all of those devices to »Target Global Inventory« of 10 items, all the devices will stop producing new »copper wire« after you have a total of 10."
demand.type.Limit.tip,"Produziert, bis eingestellte Menge im Inventar vorhanden ist.",,"[Weidengeist: Rephrased to express the meaning of demand.type.Limit more clearly.]"
demand.type.One,"Produziere einmal",,"like demant.type.Custom, but it does not let you choose the amount, it will stop after producing one item"
demand.type.One.tip,"Nach dem aktuellen Objekt wird die Produktion pausiert.",,
demand.type.Unlimited,"Produziere fortwährend",,"like demand.type.Custom, but it does not let you choose the amount, it will keep producing the copies of the item forever (or until you change the configuration)"
demand.type.Unlimited.tip,"Produziert das Objekt endlos.",,
demo.mode,Demomodus,,
demo.mode.off,"Demomodus AUS",,
demo.mode.on,"Demomodus EIN<br>(Ausschalten mit: Strg + F9)",,
destroy,Zerstören,,
details,Details,,
dev.build.instant,"Sofortbau (Sandboxmodus)",,
dev.debug,Dev-Debugging,,
dev.menu.achievements.warning,"Einige Funktionen dieses Menüs <b>deaktivieren Errungenschaften für diesen Spielstand</b> ohne weitere Warnungen.",,
dev.notice,Entwicklernotiz,,
device.battery.level,"Batterieladung: {0} ({1})",,
device.health,"Zustand: {0}",,
device.idle,"{0} ({1}) ist im Leerlauf",2022-10-29,
device.wear,Geräteabnutzung,,
device.wear.tip,"Wenn diese Funktion aktiviert ist, verfolgt das Spiel die Nutzung der Geräte. Geräte werden irreparabel beschädigt, sobald der Verschleiß 100 % erreicht.",,
device.wear.warning,"Gerät muss bald ersetzt werden",,
device.worn.out,"Das Gerät ist vollständig abgenutzt und kann nicht mehr repariert werden.",,
different.section,"Unterschiedliche Bereiche",,"shows up in the list of reasons why someone did not perform a task. »Different section« in this context means that the worker was in section A, while task was in section B. Different sections can only be reached by flying, so worker that will not do the task for this reason will almost always be someone who is incapable of flying"
difficulty.balanced,Ausgewogen,,"Shows up in the list of game difficulty levels. Balanced is like »medium difficulty«"
difficulty.challenging,Herausfordernd,,"Shows up in the list of game difficulty levels. Challenging is like »hard difficulty«"
difficulty.relaxing,Entspannend,,"Shows up in the list of game difficulty levels. Relaxing is like »easy difficulty«"
direct.control,"Direkte Kontrolle",,"A text on a button that enables »direct control« of a robot. »Direct control« allows issuing orders directly to the selected robot. Otherwise robots make choices and perform actions on their own."
direct.control.desc,"Wenn ein Arbeiter ausgewählt ist, halte {0} und bewege den Mauszeiger über einen beliebigen Ort, um festzustellen, ob der Arbeiter dorthin gelangen kann.<br><br>Halte {0} gedrückt und bewege den Mauszeiger über ausstehende Aufgaben auf der Karte, um zu sehen, ob der Arbeiter diese ausführen kann.<br><br>Klicke dann auf {1}, um dem Arbeiter den Auftrag zu erteilen, sich zum ausgewählten Ort zu begeben und/oder die Aufgabe zu erledigen.<br><br>Du kannst die <b>direkte Kontrolle</b> über deine Arbeiter übernehmen, um zu verhindern, dass sie sich automatisch bewegen oder selbsttätig Aufgaben annehmen. Vergiss nicht, sie abschließend wieder freizugeben.<br><br>Das Erteilen eines direkten Befehls stoppt jede Aufgabe, die der Arbeiter zu diesem Zeitpunkt möglicherweise ausführt.<br><br>Du kannst mehrere Arbeiter auswählen und sie in Gruppen befehligen.<br><br>Nur von dir kontrollierte Arbeiter (Roboter, Drohnen) können auf diese Weise gesteuert werden.",2022-10-31,
direction.east,Ost,,"Noun. direction.X keys are used on buttons that allow you to select your space ship's »forward direction«. It tells which way the ship's front is facing. Engines will be on the opposite direction, etc."
direction.north,Nord,,
direction.south,Süd,,
direction.west,West,,
dirt,Dreck,,
dirt.desc,"Umgebungsverunreinigungen anzeigen (kosmetisch)",,"Decals in game development are textures that are placed on top of other textures to add various marks (bullet damage, blood, dirt, etc). In this case it is for menu item that allows spawning dirt on the floor."
disable.achievements,"Errungenschaften ausschalten",,
disable.achievements.tip,"Wenn du Errungenschaften als störend empfindest, kannst du sie vollständig deaktivieren.",,
disable.force.field,"Kraftfeld ausschalten",,
disable.merchant.beacon,"Handelsbake deaktivieren",,
disabled.in.tutorial,"Im Tutorial deaktiviert",,
disassemble,Zerlegen,,
disassembling.bar,"Zerlege: {0}/{1}",,
discharge.time.left,Kraftfeldzeit,,"A label displayed next to the time left for a force field device to be activated (because its battery is discharging, after some time it will auto-deactivate and will have to recharge). See »charge.time.left« key for more context."
disconnect.all,"Alle trennen",,
disk.compression,"Festplattenkomprimierung: {0}",,
memory.compression,"Arbeitsspeicherkomprimierung: {0}",,
do.not.show.again,"Nicht mehr anzeigen",,
dock,Andocken,,"Verb. Displayed on an action button that tells a robot to return to a docking station."
dockable,Andockbar,,"Adjective. Displayed on a button that opens a submenu that contains robot's docking status and controls"
docked,Angedockt,,"Robot state, denoting that robot is currently inside its designated docking station"
docking,Andocken,,"Robot state, denoting that robot is currently trying to reach it's docking station"
does.not.include.batteries,"Enthält keine Batterien",,
dont.save,"Ohne Speichern schließen",,
door,Tür,,
door.not.powered,"Tür ist nicht angeschlossen oder hat ein Stromdefizit",,
download.mods,"Mods herunterladen",,
drag.dist.tip,"Barrierefreiheitsoption. Bestimmt, wie viele Pixel du bei gedrückter Taste ziehen musst, damit die Aktion als »Ziehen« gewertet wird.",,
drag.release.build.con,"Verbinder beim Ziehen bauen",,
